,Company_Name,Sector,Stage,Amount($),HeadQuarter,What it does,Funding Year,Founded,Founders,Investor
0,TheCollegeFever,Brand Marketing,Seed,250000.0,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018,N/A,N/A,N/A
1,Happy Cow Dairy,Agriculture,Seed,480000.0,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,2018,N/A,N/A,N/A
2,MyLoanCare,Credit,Series A,780000.0,Gurgaon,Leading Online Loans Marketplace in India,2018,N/A,N/A,N/A
3,PayMe India,Financial Services,Angel,2000000.0,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2018,N/A,N/A,N/A
4,Eunimart,E-Commerce Platforms,Seed,,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,2018,N/A,N/A,N/A
5,Hasura,Cloud Infrastructure,Seed,1600000.0,Bengaluru,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",2018,N/A,N/A,N/A
6,Tripshelf,Internet,Seed,192000.0,Kalkaji,Tripshelf is an online market place for holiday packages.,2018,N/A,N/A,N/A
7,Hyperdata.IO,Market Research,Angel,600000.0,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,2018,N/A,N/A,N/A
8,Freightwalla,Information Services,Seed,,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,2018,N/A,N/A,N/A
9,Microchip Payments,Mobile Payments,Seed,,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device,2018,N/A,N/A,N/A
10,BizCrum Infotech Pvt. Ltd.,B2B,Seed,,Delhi,Building Transactionary B2B Marketplaces,2018,N/A,N/A,N/A
11,Emojifi,Internet,Seed,,Bengaluru,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",2018,N/A,N/A,N/A
12,Flock,Apps,Seed,,India,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,2018,N/A,N/A,N/A
13,Freshboxx,Food Delivery,Seed,,Hubli,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",2018,N/A,N/A,N/A
14,Wide Mobility Mechatronics,Industrial Automation,Seed,,Bangalore,Wide Mobility Mechatronics is a Private Company limited by Shares,2018,N/A,N/A,N/A
15,Pitstop,Automotive,Seed,1200000.0,Bengaluru,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2018,N/A,N/A,N/A
16,Mihuru,Finance,Seed,150000.0,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,2018,N/A,N/A,N/A
17,Fyle,Accounting,Seed,1100000.0,Bengaluru,Fyle is an intelligent expense management platform for enterprises.,2018,N/A,N/A,N/A
18,AppWharf,Artificial Intelligence,Seed,,New Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,2018,N/A,N/A,N/A
19,Antariksh Waste Ventures Pvt ltd,Internet of Things,Seed,6000.0,Chennai,Waste Management for Smart Cities,2018,N/A,N/A,N/A
20,Cogoport,Air Transportation,Series A,6000000.0,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2018,N/A,N/A,N/A
21,PaisaDukan,Financial Services,Seed,650000.0,Mumbai,A P2P lending marketplace platform,2018,N/A,N/A,N/A
22,Sleepy Owl Coffee,Food and Beverage,Seed,420000.0,New Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2018,N/A,N/A,N/A
23,BlueJack,Autonomous Vehicles,Seed,768000.0,Delhi,Delhi-based online used vehicles marketplace.,2018,N/A,N/A,N/A
24,PregBuddy,Enterprise Software,Seed,,Bengaluru,PregBuddy is a smart connected care platform for expecting mothers.,2018,N/A,N/A,N/A
25,AgNext Technologies,Agriculture,Series A,,Mohali,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,2018,N/A,N/A,N/A
26,Pando,Logistics,Seed,2000000.0,Chennai,A startup which digitizes logistics operations for Fortune 500 companies.,2018,N/A,N/A,N/A
27,Mintifi,Financial Services,Seed,2000000.0,Mumbai,Online lending startup based in Mumbai.,2018,N/A,N/A,N/A
28,Carcrew,Automotive,Seed,2000000.0,Mumbai,India's Online Auto Repair Marketplace,2018,N/A,N/A,N/A
29,NicheAI,Artificial Intelligence,Angel,,Hyderabad,Early stage Artificial Intelligence (AI) start up.,2018,N/A,N/A,N/A
